"","Station","Vertcover_50","Cam","Dcrops","MSAVI","Slope","Cluster","Effort","Dpop_G"
"1","C1T2P1",20,"MoultrieA30",1665.988201,0.480004333,8.602325439,1,85,3402.993225
"2","C1T2P11",53.3,"Moultrie",2164.632852,0.368832833,0.353553385,1,39,3621.315051
"3","C1T2P21",6.7,"MoultrieA30",2645.346217,0.388498333,0,1,90,3893.241388
"4","C1T4P1",6.7,"Primos",1528.751295,0.419164,26.07680893,1,60,3869.826434
"5","C1T4P11",0,"MoultrieA30",1980.711054,0.443923,10.30776405,1,90,4064.397918
"6","C1T4P21",53.3,"Primos",2445.989979,0.4658685,0,1,90,4307.236033
"7","C1T6P1",80,"MoultrieA30",1344.882433,0.3097375,4.596194267,1,92,4344.704554
"8","C1T6P11",66.7,"Moultrie",1834.546389,0.334400833,1.274754882,1,89,4518.1762
"9","C1T6P21",86.7,"MoultrieA30",2328.106354,0.343314333,0,1,27,4738.626097
"10","C2T1P1",33.3,"Primos",2029.201249,0.390182667,8.200610161,2,119,5933.966071
"11","C2T1P11",93.3,"Moultrie",2044.276117,0.506341667,6.973162651,2,104,5522.896482
"12","C2T1P21",0,"Primos",1905.240082,0.443808167,11.543396,2,79,5126.680648
"13","C2T2P1",0,"MoultrieA30",1529.378849,0.452267167,4.123105526,2,110,6314.474842
"14","C2T2P11",0,"Primos",1606.170363,0.438886667,0.790569425,2,7,5918.490639
"15","C2T2P21",3.3,"MoultrieA30",1455.934159,0.4404825,4.373213768,2,78,5540.631764
"16","C2T3P1",46.7,"Primos",1028.19227,0.473765,13.46291161,2,111,6717.623347
"17","C2T3P11",6.7,"Moultrie",1156.453366,0.333202833,7.28869009,2,112,6336.865025
"18","C2T3P21",46.7,"Primos",1051.683337,0.403470167,10.30776405,2,81,5974.804646
"19","C3T0P1",80,"Primos",665.8860638,0.3962635,4.31566906,1,61,5435.357064
"20","C3T0P11",33,"Moultrie",708.028978,0.414399,12.06751823,1,88,5157.598206
"21","C3T0P21",67,"Primos",573.7246416,0.431306167,3.905124903,1,88,4916.238403
"22","C3T1P1",13.3,"MoultrieA30",1142.245895,0.45444,13.31352711,1,88,4963.704006
"23","C3T1P11",33.3,"Primos",1191.285655,0.3923565,6.828249931,1,70,4672.194564
"24","C3T1P21",36.7,"MoultrieA30",923.1344793,0.411763333,24.68299103,1,37,4418.323344
"25","C3T3P1",40,"Primos",1633.59354,0.126638833,0,1,45,4498.773496
"26","C3T3P11",13.3,"Moultrie",1498.16154,0.429842833,6.020797253,1,66,4198.814089
"27","C3T3P21",53.3,"Primos",1119.62717,0.464619333,9.199184418,1,65,3929.227227
"28","C4T1P1",20,"Primos",789.2956092,0.4358385,19.24188232,2,46,2533.54298
"29","C4T1P11",0,"Moultrie",1288.272175,0.4048715,12.61942959,2,74,2642.028489
"30","C4T1P21",33.3,"Primos",1781.306603,0.427273333,0,2,72,2836.027794
"31","C4T2P1",66.7,"MoultrieA30",698.7066078,0.506319167,18.20027542,2,108,2038.182767
"32","C4T2P11",0,"Primos",1198.053043,0.528098833,22.29630089,2,51,2172.210118
"33","C4T2P21",0,"MoultrieA30",1697.631066,0.427701333,0,2,119,2403.540848
"34","C4T3P1",33.3,"Primos",624.6029293,0.481308167,2.915475845,2,117,1546.532654
"35","C4T3P11",13.3,"Moultrie",1091.647006,0.479524833,16.35924721,2,119,1717.813454
"36","C4T3P21",33.3,"Primos",1553.88074,0.430867,0,2,119,2003.70229
"37","C5T1P1",0,"MoultrieA30",208.8244266,0.453759,3.952847004,2,121,6289.57309
"38","C5T1P11",0,"Moultrie",711.2283926,0.402555,2.915475845,2,67,6782.8945
"39","C5T1P21",33.3,"MoultrieA30",1208.228393,0.4428,8.732124329,2,121,7271.748643
"40","C5T2P1",6.7,"Primos",411.9021195,0.488359333,0,2,121,6389.730161
"41","C5T2P11",50,"MoultrieA30",797.3633919,0.424085167,21.67083359,2,121,6875.778639
"42","C5T2P21",33.3,"Primos",1251.148544,0.476707167,18.5,2,104,7352.441188
"43","C5T3P1",100,"MoultrieA30",462.555518,0.449260167,0,2,121,6525.198554
"44","C5T3P11",33.3,"Moultrie",935.5591524,0.395370333,2.692582369,2,120,6998.358042
"45","C5T3P21",60,"MoultrieA30",1417.527261,0.496526833,11.23053837,2,121,7465.27569
"46","C6T1P1",40,"MoultrieA30",1173.660867,0.443775333,20.59733009,1,88,1126.707094
"47","C6T1P11",13.3,"Primos",1670.966229,0.4876715,22.81720924,1,59,1597.497153
"48","C6T1P21",0,"MoultrieA30",1741.029939,0.470032667,39.97655487,1,88,2078.15879
"49","C6T2P1",6.7,"Primos",1203.51053,0.472778667,12.73283196,1,34,1023.265746
"50","C6T2P11",46.7,"Moultrie",1691.035596,0.455648,17.18284035,1,40,1509.570036
"51","C6T2P21",33.3,"Primos",1772.88488,0.486645167,17.25181198,1,58,2002.302045
"52","C6T3P1",66.7,"MoultrieA30",1184.875784,0.424353167,27.84106636,1,14,989.5742372
"53","C6T3P11",13.3,"Primos",1612.060259,0.523210167,21.67083359,1,90,1489.375751
"54","C6T3P21",20,"MoultrieA30",1927.292689,0.523578333,19.98124123,1,90,1989.530991
"55","CB18P10",46.7,"MoultrieA30",177.4514018,0.462994667,0.707106769,3,122,6636.694735
"56","CB18P11",40,"MoultrieA30",678.3745278,0.4677785,17.18284035,3,124,3879.956093
"57","CB18P12",0,"MoultrieA30",2044.306239,0.40807,0,3,121,8094.588071
"58","CB18P13",46.7,"MoultrieA30",2321.683226,0.277251,7.158910751,3,71,3170.985463
"59","CB18P14",100,"MoultrieA30",1504.941195,0.433532333,3,3,118,2770.639753
"60","CB18P15",0,"Primos",528.663409,0.223552833,0,3,118,3287.17829
"61","CB18P26",33.3,"MoultrieA30",95.61495988,0.4562485,12.20655537,3,146,5476.574575
"62","CB18P27",0,"Primos",0,0.468403,5.884301186,3,105,5699.127114
"63","CB18P28",33.3,"MoultrieA30",423.7593657,0.557020333,51.38579559,3,178,4497.388397
"64","CB18P29",70,"MoultrieA30",0,0.4749095,0,3,180,4781.883407
"65","CB18P30",86.7,"Primos",800.8901298,0.361534333,32.42298508,3,179,1061.704349
"66","CB18P32",93.3,"MoultrieA30",838.0095465,0.373254,14.54733658,3,149,630.7970286
"67","CB18P9",0,"Primos",126.8563644,0.389209833,28.81188965,3,122,7022.37953
