"","X","utm_x","utm_y","Station","Setup_date","Retrieval_date","Problem1_from","Problem1_to"
"1",1,693961,2009932,"C1T2P1","2018-01-23","2018-04-23",NA,NA
"2",2,693553,2009643,"C1T2P11","2018-01-23","2018-04-23","2018-01-23","2018-02-24"
"3",3,693144,2009355,"C1T2P21","2018-01-23","2018-04-23",NA,NA
"4",4,693673,2010340,"C1T4P1","2018-01-23","2018-04-23","2018-02-17","2018-02-24"
"5",5,693264,2010052,"C1T4P11","2018-01-23","2018-04-23",NA,NA
"6",6,692856,2009763,"C1T4P21","2018-01-23","2018-04-23",NA,NA
"7",7,693384,2010748,"C1T6P1","2018-01-21","2018-04-23",NA,NA
"8",8,692976,2010460,"C1T6P11","2018-01-22","2018-04-23",NA,NA
"9",9,692567,2010171,"C1T6P21","2018-01-22","2018-04-23","2018-02-01","2018-02-24"
"10",10,691248,2010115,"C2T1P1","2018-04-24","2018-08-21",NA,NA
"11",11,691548,2009715,"C2T1P11","2018-04-24","2018-08-21",NA,NA
"12",12,691849,2009315,"C2T1P21","2018-04-24","2018-08-21",NA,NA
"13",13,690783,2009920,"C2T2P1","2018-04-24","2018-08-21",NA,NA
"14",14,691084,2009520,"C2T2P11","2018-04-24","2018-08-21","2018-04-28","2018-05-20"
"15",15,691384,2009121,"C2T2P21","2018-04-24","2018-08-21",NA,NA
"16",16,690311,2009723,"C2T3P1","2018-04-24","2018-08-21",NA,NA
"17",17,690612,2009323,"C2T3P11","2018-04-24","2018-08-21","2018-05-13","2018-05-20"
"18",18,690912,2008923,"C2T3P21","2018-04-24","2018-08-21",NA,NA
"19",19,691396,2007831,"C3T0P1","2018-01-24","2018-04-22",NA,NA
"20",20,691697,2007431,"C3T0P11","2018-01-24","2018-04-22",NA,NA
"21",21,691997,2007031,"C3T0P21","2018-01-24","2018-04-22",NA,NA
"22",22,691867,2008028,"C3T1P1","2018-01-24","2018-04-22",NA,NA
"23",23,692168,2007628,"C3T1P11","2018-01-24","2018-04-22",NA,NA
"24",24,692468,2007229,"C3T1P21","2018-01-24","2018-04-22",NA,NA
"25",25,692333,2008223,"C3T3P1","2018-01-24","2018-04-22","2018-01-30","2018-02-23"
"26",26,692633,2007823,"C3T3P11","2018-01-24","2018-04-22","2018-02-01","2018-02-23"
"27",27,692934,2007423,"C3T3P21","2018-01-24","2018-04-22","2018-01-24","2018-02-16"
"28",28,695125,2009976,"C4T1P1","2018-04-26","2018-08-23","2018-05-08","2018-05-19"
"29",29,694717,2009688,"C4T1P11","2018-04-26","2018-08-23",NA,NA
"30",30,694308,2009399,"C4T1P21","2018-04-26","2018-08-23",NA,NA
"31",31,695414,2009568,"C4T2P1","2018-04-26","2018-08-23","2018-05-08","2018-05-19"
"32",32,695005,2009280,"C4T2P11","2018-04-26","2018-06-16",NA,NA
"33",33,694597,2008991,"C4T2P21","2018-04-26","2018-08-23",NA,NA
"34",34,695702,2009160,"C4T3P1","2018-04-26","2018-08-23",NA,NA
"35",35,695294,2008871,"C4T3P11","2018-04-26","2018-08-23",NA,NA
"36",36,694885,2008583,"C4T3P21","2018-04-26","2018-08-23",NA,NA
"37",37,690737,2006371,"C5T1P1","2018-04-25","2018-08-24",NA,NA
"38",38,690234,2006350,"C5T1P11","2018-04-25","2018-08-24",NA,NA
"39",39,689737,2006329,"C5T1P21","2018-04-25","2018-08-24",NA,NA
"40",40,690781,2005872,"C5T2P1","2018-04-25","2018-08-24",NA,NA
"41",41,690276,2005852,"C5T2P11","2018-04-25","2018-08-24",NA,NA
"42",42,689785,2005827,"C5T2P21","2018-04-25","2018-08-24",NA,NA
"43",43,690826,2005375,"C5T3P1","2018-04-25","2018-08-24",NA,NA
"44",44,690322,2005357,"C5T3P11","2018-04-25","2018-08-24",NA,NA
"45",45,689829,2005339,"C5T3P21","2018-04-25","2018-08-24",NA,NA
"46",46,695723,2007722,"C6T1P1","2018-01-27","2018-04-25",NA,NA
"47",47,695315,2007424,"C6T1P11","2018-01-26","2018-04-25","2018-02-16","2018-02-26"
"48",48,694906,2007145,"C6T1P21","2018-01-27","2018-04-25",NA,NA
"49",49,696012,2007314,"C6T2P1","2018-01-25","2018-04-25","2018-01-25","2018-02-26"
"50",50,695603,2007026,"C6T2P11","2018-01-25","2018-04-25","2018-01-26","2018-02-25"
"51",51,695195,2006737,"C6T2P21","2018-01-25","2018-04-25","2018-01-25","2018-02-26"
"52",52,696300,2006906,"C6T3P1","2018-01-25","2018-04-25","2018-01-25","2018-02-26"
"53",53,695892,2006617,"C6T3P11","2018-01-25","2018-04-25",NA,NA
"54",54,695483,2006329,"C6T3P21","2018-01-25","2018-04-25",NA,NA
"55",55,690208,2007495,"CB18P10","2018-04-22","2018-08-22",NA,NA
"56",56,694249,2010999,"CB18P11","2018-04-23","2018-08-25",NA,NA
"57",57,689557,2004377,"CB18P12","2018-04-25","2018-08-24",NA,NA
"58",58,693677,2008438,"CB18P13","2018-04-23","2018-08-25",NA,NA
"59",59,694097,2007477,"CB18P14","2018-04-26","2018-08-22",NA,NA
"60",60,693883,2006474,"CB18P15","2018-04-26","2018-08-22",NA,NA
"61",61,691499,2006677,"CB18P26","2018-02-25","2018-08-22","2018-04-03","2018-04-20"
"62",62,691591,2005687,"CB18P27","2018-02-25","2018-08-25","2018-05-10","2018-05-20"
"63",63,692499,2006719,"CB18P28","2018-02-25","2018-08-22",NA,NA
"64",64,692588,2005723,"CB18P29","2018-02-25","2018-08-24",NA,NA
"65",65,695790,2008315,"CB18P30","2018-02-27","2018-08-25",NA,NA
"66",66,696367,2007499,"CB18P32","2018-02-27","2018-08-25","2018-04-22","2018-05-22"
"67",67,689821,2008533,"CB18P9","2018-04-22","2018-08-22",NA,NA
